,name,rating,address,ave_price,url,tel,place_id,lat,lng
0,Savior Lounge Bar 救世主小酒館,4.6,臺北市萬華區漢口街二段34巷10號,300.0,https://ifoodie.tw/restaurant/5ea996c48c906d139203ece3-Savior-Lounge-Bar-%E6%95%91%E4%B8%96,0223116677,ChIJGRfASgmpQjQRD4tpHWauFLU,25.0450599,121.50711729999999
1,瑰秘餐酒館,4.5,臺北市信義區基隆路二段149之53號,1500.0,https://ifoodie.tw/restaurant/5ae75b132756dd5d801dab91-%E7%91%B0%E7%A7%98%E9%A4%90%E9%85%92%E9%A4%A8,0227324436,ChIJXYxpkjSqQjQR0S1038jQuMs,25.026585,121.55531
2,Tiny Beertail Bar,4.8,臺北市中山區合江街133號,230.0,https://ifoodie.tw/restaurant/5fc0b90dd6895d227bf60f69-Tiny-Beertail-Bar,0225080191,ChIJy3yxUeKrQjQRX_ix3k-iQxA,25.061010800000002,121.53937920000001
3,Restaurant Page 頁小館,4.6,臺北市中山區北安路595巷20弄4號1樓,1500.0,https://ifoodie.tw/restaurant/57740e682756dd5158c80645-Restaurant-Page-%E9%A0%81%E5%B0%8F%E9%A4%A8,0225328003,EjYxMDQ5MeWPsOeBo-WPsOWMl-W4guS4reWxseWNgOWMl-Wuiei3rzU5NeW3tzIw5byENOiZnzEiHRobChYKFAoSCR9ZSmYFrEI0EXHICsZypcrtEgEx,25.081809,121.54778470000001
4,The 58 Bar - 台灣自釀啤酒專賣,4.4,臺北市萬華區開封街二段58號,600.0,https://ifoodie.tw/restaurant/57d057ac2756dd05d485aaa1-The-58-Bar-%E5%8F%B0%E7%81%A3%E8%87%AA%E9%87%80%E5%95%A4%E9%85%92%E5%B0%88%E8%B3%A3,0223888580,ChIJl11jlQ6pQjQR81s9IGhEn3s,25.0464673,121.50721909999999
5,K.D Bistro Taipei,4.7,臺北市大安區光復南路346巷21號,1000.0,https://ifoodie.tw/restaurant/5e255ffcd6895d5a1e47c0a2-K.D-Bistro-Taipei,0227754432,ChIJzyELh8irQjQRRMuodATiuMA,25.0383126,121.55678459999999
6,法租界 L.C Française 餐酒館,4.4,臺北市大安區敦化南路一段187巷45之2號,1200.0,https://ifoodie.tw/restaurant/5d3a68b62261394b870b7c9e-%E6%B3%95%E7%A7%9F%E7%95%8C-L.C-Fran%C3%A7aise-%E9%A4%90%E9%85%92,0983638156,ChIJR4ZWq8WrQjQRyaOBOluxPUk,25.0426116,121.5514322
7,ABV% 加勒比海 精釀啤酒餐廳,4.7,臺北市大安區敦化南路一段233巷61號,800.0,https://ifoodie.tw/restaurant/5762eb672756dd1d469e4b97-ABV-%E5%8A%A0%E5%8B%92%E6%AF%94%E6%B5%B7-%E7%B2%BE%E9%87%80%E5%95%A4%E9%85%92%E9%A4%90%E5%BB%B3,0227216997,ChIJf0B4ksWrQjQRkP-UkGuHRBk,25.040481699999997,121.5524291
8,O Steak 歐牛排 法式餐酒館,4.2,台北市大安區金華街164巷1弄6號,1000.0,https://ifoodie.tw/restaurant/57b89c7a2756dd1a86feda8b-O-Steak-%E6%AD%90%E7%89%9B%E6%8E%92-%E6%B3%95%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8,0223931616,EjIxMDblj7DngaPlj7DljJfluILlpKflronljYDph5Hoj6_ooZcxNjTlt7cx5byENuiZnyIaEhgKFAoSCT2pq_2DqUI0EapT8q_lW8pSEAY,25.0292631,121.53108219999999
9,黑熊愛跳舞,4.2,臺北市大安區基隆路二段225號,268.0,https://ifoodie.tw/restaurant/588797f92756dd3ab2f6b904-%E9%BB%91%E7%86%8A%E6%84%9B%E8%B7%B3%E8%88%9E,0287328980,ChIJT9J7oTGqQjQRJoNIJC66U40,25.022703600000003,121.5509669
10,台韓民國 韓式燒肉店,4.1,臺北市大安區忠孝東路四段170巷6弄7號,500.0,https://ifoodie.tw/restaurant/57ed594b2756dd0d0ef56442-%E5%8F%B0%E9%9F%93%E6%B0%91%E5%9C%8B-%E9%9F%93%E5%BC%8F%E7%87%92%E8%82%89%E5%BA%97,0227115007,ChIJidQ-aMWrQjQRRuZsI6sJ3Ig,25.04114,121.549922
11,Mr. BEAN Taipei,4.4,臺北市大安區仁愛路四段445號,1200.0,https://ifoodie.tw/restaurant/5ca372252756dd62daaf41bd-Mr.-BEAN-Taipei,0227766003,ChIJPyg7fcirQjQR-PdV-fPiJxg,25.0380582,121.5571101
12,誠鮨,4.6,臺北市中山區建國北路二段32號,1800.0,https://ifoodie.tw/restaurant/5a677a9c2756dd60a4223156-%E8%AA%A0%E9%AE%A8,0225066070,ChIJHa42GmCpQjQRRkJH1gCrlz8,25.0532425,121.53642909999999
